,valid_AUC,valid_AUC_PR,valid_Recall,valid_F1,valid_AUC_tuned,valid_AUC_PR_tuned,valid_Recall_tuned,valid_F1_tuned,test_AUC,test_AUC_PR,test_Recall,test_F1,test_AUC_tuned,test_AUC_PR_tuned,test_Recall_tuned,test_F1_tuned
TOX21_VDR_BLA_agonist_ratio,0.623869246,0.021506402,0,0,0.623869246,0.021506402,0,0,0.648997135,0.00498779,0,0,0.648997135,0.00498779,0,0
TOX21_VDR_BLA_antagonist_ratio,0.786416903,0.121386973,0.116666667,0.088888889,0.786416903,0.121386973,0.116666667,0.088888889,0.938967136,0.075150966,0,0,0.938967136,0.075150966,0,0
TOX21_HSE_BLA_agonist_ratio,0.742414178,0.113968482,0.147619048,0.16736273,0.748501544,0.119673259,0.160257937,0.183444065,0.778047091,0.110996583,0.25,0.266666667,0.815443213,0.108384945,0.25,0.266666667
TOX21_ESRE_BLA_ratio,0.733948027,0.299513211,0.225,0.294545455,0.733948027,0.299513211,0.225,0.294545455,0.924941725,0.671952968,0.666666667,0.8,0.970862471,0.679420359,0.666666667,0.8
TOX21_FXR_BLA_agonist_ratio,0.722509428,0.107787124,0,0,0.688590494,0.056939472,0.2,0.116666667,0.952449568,0.022727273,0,0,0.969740634,0.042388664,0,0
TOX21_FXR_BLA_antagonist_ratio,0.724076005,0.16536982,0.142446524,0.166174621,0.751544784,0.149722097,0.134973262,0.16693647,0.624552773,0.074344855,0,0,0.667486583,0.089715665,0,0
TOX21_ARE_BLA_agonist_ratio,0.702339427,0.233027733,0.28405464,0.264820332,0.706223812,0.23352203,0.317180141,0.277121222,0.70187613,0.213408841,0.257142857,0.255319149,0.706634268,0.206740943,0.257142857,0.24
TOX21_PPARd_BLA_agonist_ratio,0.743413796,0.159270342,0.183333333,0.174444444,0.817442875,0.204786616,0.216666667,0.23,0.993202063,0.476190476,0.333333333,0.5,0.993202063,0.476190476,0.333333333,0.5
TOX21_PPARd_BLA_antagonist_ratio,0.654913616,0.078148089,0.119047619,0.143506494,0.654913616,0.078148089,0.119047619,0.143506494,0.723527349,0.125476848,0.25,0.307692308,0.834063815,0.122565331,0.125,0.181818182
TOX21_PPARg_BLA_antagonist_ratio,0.832676952,0.209103562,0.228756064,0.257073606,0.832676952,0.209103562,0.228756064,0.257073606,0.844020563,0.178230105,0.095238095,0.117647059,0.845643939,0.206512923,0.142857143,0.166666667
TOX21_ELG1_LUC_Agonist,0.728133564,0.090295868,0.070952381,0.111904762,0.728133564,0.090295868,0.070952381,0.111904762,0.854758801,0.466481977,0.2,0.333333333,0.854758801,0.466481977,0.2,0.333333333
TOX21_AhR_LUC_Agonist,0.83330447,0.228686798,0.296134789,0.260765957,0.843774769,0.231889077,0.316836493,0.267960258,0.80069259,0.191427442,0.25,0.213333333,0.819488485,0.207749526,0.28125,0.219512195
TOX21_Aromatase_Inhibition,0.725138043,0.184806879,0.195714212,0.226157443,0.725374445,0.185612395,0.22965652,0.261294473,0.776454818,0.33204438,0.352941176,0.413793103,0.77302476,0.285206399,0.352941176,0.428571429
TOX21_AR_BLA_Agonist_ratio,0.839166962,0.546544785,0.535076682,0.572566269,0.83611243,0.542308579,0.524179999,0.58558663,0.871971876,0.52256977,0.523809524,0.611111111,0.871971876,0.52256977,0.523809524,0.611111111
TOX21_AR_BLA_Antagonist_ratio,0.733501538,0.21503101,0.258824231,0.272782635,0.733501538,0.21503101,0.258824231,0.272782635,0.748169973,0.343513187,0.315789474,0.338028169,0.741435473,0.317512678,0.368421053,0.373333333
TOX21_AR_LUC_MDAKB2_Agonist,0.799131552,0.52326564,0.491302521,0.544509134,0.797502292,0.528799839,0.478969188,0.566642494,0.774494272,0.557509174,0.5,0.523809524,0.802949062,0.564138974,0.5,0.564102564
TOX21_p53_BLA_p1_ratio,0.778798549,0.156508669,0.184065657,0.212090965,0.816147873,0.182006076,0.189747475,0.214561479,0.897697368,0.238088276,0.2,0.307692308,0.904407895,0.246987239,0.2,0.307692308
TOX21_p53_BLA_p2_ratio,0.662833228,0.146842473,0.157116403,0.182719872,0.662833228,0.146842473,0.157116403,0.182719872,0.650329281,0.135245984,0.238095238,0.256410256,0.669357903,0.145966448,0.238095238,0.25
TOX21_p53_BLA_p3_ratio,0.67501914,0.116330732,0.135056873,0.167211792,0.67501914,0.116330732,0.135056873,0.167211792,0.72309865,0.137401513,0.157894737,0.24,0.72309865,0.137401513,0.157894737,0.24
TOX21_p53_BLA_p4_ratio,0.656543861,0.111570203,0.105102259,0.141519582,0.637981482,0.104190744,0.150546398,0.152460059,0.566364694,0.035219877,0,0,0.589220412,0.039222099,0.125,0.102564103
TOX21_p53_BLA_p5_ratio,0.617363912,0.10323208,0.108692002,0.111161785,0.613239288,0.104443412,0.09583486,0.114555718,0.635698198,0.088777403,0.0625,0.095238095,0.656290219,0.092394467,0.0625,0.105263158
TOX21_ERa_BLA_Agonist_ratio,0.784838009,0.388412043,0.340425142,0.386496396,0.7961773,0.397597428,0.359504339,0.427808164,0.821532075,0.410250513,0.411764706,0.4375,0.810370486,0.450584074,0.470588235,0.571428571
TOX21_ERa_BLA_Antagonist_ratio,0.711826416,0.146550974,0.167382014,0.191072605,0.711826416,0.146550974,0.167382014,0.191072605,0.727018229,0.103938067,0.1,0.125,0.652636719,0.06899157,0.1,0.129032258
TOX21_GR_BLA_Agonist_ratio,0.839942097,0.585902748,0.599202048,0.610098571,0.856792876,0.581542926,0.594202048,0.628888689,0.976953008,0.813945155,0.846153846,0.846153846,0.976953008,0.813945155,0.846153846,0.846153846
TOX21_GR_BLA_Antagonist_ratio,0.810059784,0.411795813,0.37530924,0.430524117,0.810059784,0.411795813,0.37530924,0.430524117,0.794555113,0.396009997,0.333333333,0.37037037,0.829305002,0.380074079,0.333333333,0.384615385
TOX21_TR_LUC_GH3_Agonist,0.515673547,0.195359851,0.188809524,0.243809524,0.515673547,0.195359851,0.188809524,0.243809524,0.78648532,0.074277313,0.333333333,0.333333333,0.900259067,0.353219361,0.333333333,0.5
TOX21_TR_LUC_GH3_Antagonist,0.731257593,0.203682745,0.228680454,0.250023616,0.731257593,0.203682745,0.228680454,0.250023616,0.769358139,0.212767792,0.285714286,0.28,0.769358139,0.212767792,0.285714286,0.28
TOX21_PPARg_BLA_Agonist_ratio,0.870908668,0.271459219,0.193691749,0.259796614,0.859194587,0.163971505,0.327744461,0.262269544,0.859618614,0.32938695,0.181818182,0.285714286,0.827236747,0.320599671,0.454545455,0.344827586
NVS_ADME_hCYP2B6,0.861868386,0.903899874,0.909047619,0.782649799,0.861868386,0.903899874,0.909047619,0.782649799,0.625,0.65,0.25,0.285714286,0.6875,0.691666667,0.5,0.571428571
NVS_ADME_hCYP1A2,0.616558233,0.714538236,0.760924076,0.685418921,0.616558233,0.714538236,0.760924076,0.685418921,0.6484375,0.760456904,0.5,0.571428571,0.65625,0.770648102,0.5,0.666666667
NCCT_TPO_AUR_dn,0.800988177,0.763723432,0.659996018,0.669974227,0.807348406,0.770305356,0.664193646,0.670031104,0.761666667,0.732269907,0.88,0.745762712,0.761666667,0.732269907,0.88,0.745762712